LocationID,ApogeeID,Method_ID,Class,Bin%
95,5056,2M02341898+4658542,MJ,3,0.977009566093602
96,5050,2M02342325-0828557,MJ,3,0.9951378559265558
97,4271,2M02353225+6048063,MJ,3,0.991444951556104
98,5050,2M02374642-0831591,MJ,3,0.9512328216862244
99,5100,2M02410921+5223583,MJ,3,0.960529168006754
100,4479,2M02411197+0727401,MJ,3,0.9802224802101775
101,4479,2M02424580+0735211,MJ,3,0.9591747205024476
102,5112,2M02440872+3711366,MJ,3,0.9169516337379512
103,2045,2M02450567-0021040,MJ,3,0.934892153962366
104,4479,2M02451215+0730059,MJ,3,0.9018256905874866
105,2045,2M02453568-0006180,MJ,3,0.9801619536203856
106,5139,2M02454202-1244465,MJ,3,0.9610535244808324
107,5139,2M02455385-1310597,MJ,3,0.9959847174494516
108,2045,2M02472690-0012224,MJ,3,0.9802006326313556
109,5112,2M02475163+3611472,MJ,3,0.9860280218113482
110,2045,2M02475375-0018587,MJ,3,0.9727214427227348
111,4479,2M02484723+0719196,MJ,3,0.9708010959131318
112,5112,2M02490823+3709411,MJ,3,0.9854450249371136
113,4479,2M02491256+0815300,MJ,3,0.9938395792808722
114,5139,2M02501196-1251273,MJ,3,0.9289969004561404
115,5112,2M02521895+3812193,MJ,3,0.952635860877315
116,5061,2M02523349+5909085,MJ,3,0.966770982926605
117,5089,2M02552957-1701149,MJ,3,0.9690285584062456
118,5089,2M02560347-1615285,MJ,3,0.9876083958630512
119,5089,2M02564291-1619537,MJ,3,0.9301940260596158
120,4310,2M02585078+6601225,MJ,3,0.9248615796755982
121,5062,2M03002780+4516191,MJ,3,0.9894966690390692
122,4205,2M03072395+7944317,MJ,3,0.9804939826655183
123,4205,2M03084093+7912356,MJ,3,0.9653151579839504
124,4205,2M03094422+7941129,MJ,3,0.9927818824818291
125,4551,2M03103688+6312022,MJ,3,0.9734900211765636
126,4428,2M03110855+5251034,MJ,3,0.970561143250381
