LocationID,ApogeeID,min_log(R51),min_log(R101),min_log(R151),min_log(R151/R101),min_log(R101/R51),max_log(xr),Identifier
95,5067,2M00385579+8605109,0.4813,0.6242,0.7086,0.08199999999999999,0.1429,0.8502,JRC
96,5067,2M00395336+8431073,0.7651,0.8912,0.9727,0.0814,-0.0356,1.1344,JRC
97,5097,2M00400630+5644107,0.3994,0.5493,0.6355,0.0862,0.1499,0.5658,JRC
98,4412,2M00404034+3944338,0.9773,0.9262,0.8894,-0.1455,-0.1436,1.3183,JRC
99,4476,2M00411160+1717571,0.8439,0.9633,1.0024,-0.0503,-0.175,0.7712,JRC
100,4476,2M00411929+1718359,0.6374,0.7734,0.8541,0.0806,0.1322,1.0604,JRC
101,5067,2M00412224+8428397,0.7103,0.8538,0.9396,0.0254,0.0842,0.9355,JRC
102,5049,2M00414733+0215501,0.8785,1.0173,1.0868,0.059000000000000004,0.087,0.5409,JRC
103,5049,2M00422213+0344227,0.8764,0.9598,1.0247,-0.1307,-0.1574,1.075,JRC
104,4412,2M00422730+3925001,0.7809999999999999,0.8069,0.8768,-0.0903,-0.4567,1.2922,JRC
105,5049,2M00424339+0347249,0.5898,0.6811,0.7628,0.0729,-0.1681,1.2963,JRC
106,5135,2M00430593-1205334,0.8946,1.0104,1.0907,0.0803,0.1158,0.6191,JRC
107,4476,2M00430671+1913146,0.8008,0.94,0.9905,-0.0398,-0.0764,0.8757,JRC
108,4217,2M00430905+8407348,0.4199,0.4708,0.5584,0.0665,-0.0358,1.291,JRC
109,5135,2M00431061-1125472,0.987,0.5952,0.6774,0.0822,-0.3917,1.3064,JRC
110,4413,2M00434801+4216557,0.9722,1.0648,1.0872,-0.0105,0.0887,1.4965,JRC
111,4476,2M00435946+1808423,0.9175,1.0507,1.1292,0.0212,0.0719,1.1201,JRC
112,5049,2M00440889+0143590,0.9608,1.0348,1.1103,0.0473,0.07400000000000001,0.9249,JRC
113,5067,2M00441812+8516024,0.4905,0.6388,0.7154,0.0766,0.1482,0.8261,JRC
114,5135,2M00442548-1143490,0.6269,0.7589,0.8265,0.0676,0.1321,0.6812,JRC
115,4413,2M00442889+4012195,0.7775,0.8582,0.9018,-0.0244,0.0312,1.3108,JRC
116,4476,2M00443313+1734287,0.7514,0.8649,0.9319,0.0554,0.105,0.9837,JRC
117,4476,2M00443463+1719220,0.3832,0.5233,0.5655,0.0011,0.1401,0.6176,JRC
118,4217,2M00444105+8351358,0.8598,1.0019,1.0805,0.0637,0.1168,0.8151,JRC
119,5135,2M00450744-1122188,1.1377,0.7709999999999999,0.8476,0.0765,-0.3667,1.2918,JRC
120,5049,2M00450988+0418467,0.7927,0.9386,1.0043,0.0097,0.1364,1.6017,JRC
121,4476,2M00451272+1846114,0.8101,0.9259,0.8792,-0.1054,0.0989,1.6580000000000001,JRC
122,4412,2M00451788+4034585,0.7290000000000001,0.8246,0.8883,-0.0682,-0.1009,1.4104,JRC
123,4476,2M00452143+1634446,0.9099,0.9278,0.9014,-0.0783,-0.0322,1.422,JRC
124,5049,2M00453126+0217282,0.4048,0.5476,0.6293,0.0742,0.139,0.8187,JRC
125,4217,2M00453251+8458164,0.9743,1.0785,1.0144,-0.0801,-0.0311,1.4054,JRC
126,5049,2M00461801+0314195,0.4911,0.6354,0.7186,0.0623,0.1331,1.1936,JRC
127,5067,2M00463801+8441448,0.5724,0.72,0.7959999999999999,0.0635,0.1157,0.6935,JRC
128,5113,2M00464296+3931326,0.8901,0.8390000000000001,0.7852,-0.0836,-0.076,1.3535,JRC
129,4476,2M00465720+1800069,0.9079,0.852,0.8459,-0.0061,-0.183,1.7468,JRC
130,5049,2M00465778+0235576,0.35100000000000003,0.4878,0.5708,0.0713,0.1065,1.1043,JRC
131,4476,2M00470197+1751448,0.7095,0.853,0.9324,0.034,0.1283,1.2118,JRC
132,5049,2M00475130+0213225,0.9845,1.1006,1.0594,-0.0412,0.0034,0.6873,JRC
133,4217,2M00475315+8504023,0.9072,1.0214,1.0763,-0.1197,-0.0895,1.2402,JRC
134,5113,2M00475434+3924136,0.7291,0.845,0.8813,-0.061,0.0933,0.9064,JRC
135,4413,2M00481734+4241343,0.8015,0.8358,0.8535,-0.0219,-0.0506,1.4973,JRC
136,5049,2M00484410+0241261,0.6558,0.775,0.8588,-0.0545,0.0298,1.2309,JRC
137,5113,2M00490257+3958086,0.6523,0.7862,0.8586,0.0256,0.0358,0.8796,JRC
138,5113,2M00493192+4026429,0.7759999999999999,0.9025,0.9683,0.0658,0.1257,0.9057,JRC
