LocationID	ApogeeID
186	2094	2M03314168-0048020
187	4144	2M03322813+4728191
188	2094	2M03342664-0044238
189	5101	2M03345631+6419248
190	4144	2M03361242+4651208
191	5101	2M03362922+6214173
192	4144	2M03371290+4634201
193	4205	2M03384453+8016228
194	4205	2M03390336+7926498
195	2095	2M03394693+0053422
196	4205	2M03400255+8001565
197	2095	2M03401920-0118517
198	2095	2M03402591-0124572
199	4311	2M03404577+7137595
200	4586	2M03405779+3118059
201	4144	2M03410899+4543518
202	4259	2M03412688+2401025
203	4259	2M03420001+2501472
204	4259	2M03421090+2405086
205	2054	2M03421921+0034018
206	4259	2M03424022+2359217
207	2054	2M03424119+0117493
208	4259	2M03425653+2404581
209	4259	2M03431306+2439194
210	4586	2M03431992+3202412
211	2095	2M03434673-0109476
212	4259	2M03435284+2517060
213	5063	2M03435512+5517481
214	4586	2M03435638+3209591
215	4586	2M03435812+3213568
216	4205	2M03440461+7917427
217	4586	2M03440750+3204088
218	4586	2M03441558+3209218
219	4259	2M03441644+2337043
220	4259	2M03442338+2521301
221	4259	2M03442467+2451535
222	4586	2M03443165+3206534
223	4586	2M03443482+3211180
224	4586	2M03443569+3204527
225	4586	2M03443732+3207111
226	4259	2M03443777+2255157
227	4586	2M03444144+3213096
228	4586	2M03444173+3212022
229	4586	2M03444464+3207301
230	4586	2M03444495+3213364
231	4586	2M03445561+3209198
232	4586	2M03450783+3102335
233	4259	2M03451698+2515478
234	4259	2M03452118+2343389
235	4259	2M03452772+2310134
236	4586	2M03453230+3203150
237	4259	2M03454440+2413132
238	4259	2M03460429+2355408
239	4259	2M03460958+2242374
240	4259	2M03462538+2409365
241	4259	2M03465259+2338433
242	4586	2M03465851+3246588
243	4586	2M03470122+3234282
244	4586	2M03471855+3152187
245	5171	2M03481526+2342036
246	5051	2M03481859-1011358
247	5051	2M03483467-1010439
248	5171	2M03485734+2419438
249	4152	2M03491989+4915280
250	2303	2M03494383-0512075
251	4152	2M03500305+4920037
252	5051	2M03511180-0938133
253	4259	2M03512664+2504369
254	5051	2M03514262-1139271
255	2303	2M03521126-0449473
256	5162	2M03521852+2451334
257	4152	2M03522636+4916273
258	2303	2M03531784-0517434
259	5051	2M03534283-1049320
260	5162	2M03534382+2413287
261	5162	2M03542795+2350075
262	4152	2M03560117+5003253
263	5162	2M03561202+2403212
264	4205	2M03563567+7857072
265	2303	2M03571705-0436288
266	5145	2M03575528+1051182
267	5162	2M03580376+2340120
268	5145	2M03591349+1131292
269	5103	2M03592603+3738116
270	5162	2M03593006+2420101
271	5145	2M03595389+1218362
272	5162	2M04014394+2507238
273	5162	2M04014490+2556007
274	4151	2M04015510+5336178
275	2097	2M04021541-0553479
276	5162	2M04022440+2441246
277	2097	2M04051669-0510113
278	5103	2M04052852+3736385
279	5145	2M04053766+1136139
280	5145	2M04061897+1042099
281	5145	2M04070873+1047589
282	2097	2M04071794-0704285
283	2097	2M04082291-0606068
284	5161	2M04084893+2326118
285	2097	2M04085152-0617381
286	5161	2M04104481+2335500
287	5161	2M04112218+2214411
288	2097	2M04114902-0514135
289	5161	2M04121153+2317465
290	5161	2M04121599+2243447
291	5161	2M04122244+2422419
292	5161	2M04122407+2311188
293	2097	2M04124233-0543390
294	5057	2M04131512+6703558
295	4153	2M04132385+5511109
296	5102	2M04135110+4938317
297	5161	2M04142584+2414350
298	5161	2M04152483+2358568
299	5079	2M04163818+4034009
300	4556	2M04173043+4406020
301	5161	2M04174609+2401303
302	4556	2M04181465+4443163
303	4153	2M04182393+5423539
304	5160	2M04191385+1928363
305	5160	2M04201047+1841274
306	4153	2M04215749+5410526
307	5160	2M04220827+1915218
308	5149	2M04222563+5933026
309	5160	2M04230642+1909244
310	5160	2M04231198+1730112
311	5160	2M04232616+1901390
312	4153	2M04242736+5458531
313	5160	2M04242753+1813355
314	5160	2M04243058+1859131
315	5160	2M04243847+1858385
316	5160	2M04245567+1744241
317	5160	2M04253483+1823268
318	5160	2M04254747+1818539
319	5160	2M04254894+1852479
320	5160	2M04254988+1917459
321	5160	2M04265461+1758330
322	5082	2M04273190+3058238
323	5082	2M04300075+2957461
324	4325	2M04300665+3520323
325	5148	2M04311419+0041104
326	5148	2M04320745+0008492
327	5148	2M04332043+0034259
328	5148	2M04341161+0008382
329	5148	2M04344348-0014408
330	4597	2M04353924+2728040
331	5148	2M04354096+0006040
332	5148	2M04361973+0047410
333	5148	2M04363658+0043304
334	5148	2M04370293+0026232
335	4121	2M04380659+5839465
336	4121	2M04383523+5717419
337	4325	2M04393682+3553432
338	5104	2M04403927+3306187
339	4121	2M04425598+5641331
340	4257	2M04475318+3844458
341	4257	2M04485954+3749255
342	4555	2M04491848+4954075
343	5065	2M04503647+4519494
344	4121	2M04511439+5747361
345	4257	2M04522027+3931361
346	4257	2M04523015+3925462
347	4272	2M04594994+4041082
348	4560	2M04595013+3638144
349	4555	2M05003852+4942070
350	5106	2M05011401+2230159
351	4272	2M05022965+4142533
352	5106	2M05024263+2151091
353	5106	2M05054051+2255149
354	5106	2M05064830+2150468
355	4122	2M05105162+2513182
356	5114	2M05150150+2333596
357	4122	2M05162317+2312004
358	5114	2M05165815+2406084
359	4122	2M05175081+2458194
360	4145	2M05175320+4354187
361	5114	2M05181584+2408210
362	4145	2M05190968+4415144
363	4122	2M05191931+2341179
364	4562	2M05194502+2905511
365	4122	2M05194803+2404177
366	4122	2M05195099+2443435
367	5085	2M05212181+1250396
368	5175	2M05224331+0328389
369	5175	2M05224790+0241315
370	4145	2M05224865+4246159
371	5114	2M05230414+2425341
372	4562	2M05240556+2947008
373	4155	2M05240837+2711064
374	4592	2M05245445+3821524
375	5175	2M05245661+0236205
376	4559	2M05265314+4131436
377	5175	2M05265958+0246583
378	5170	2M05274357+1247326
379	5085	2M05281251+1337224
380	4145	2M05284223+4359528
381	4155	2M05284986+2645461
382	5170	2M05285853+1045376
383	4321	2M05291630+3549565
384	5175	2M05291961+0326001
385	4321	2M05292628+3555070
386	4155	2M05304951+2532292
387	5169	2M05310482+1034560
388	5170	2M05312170+1202351
389	4155	2M05312674+2759565
390	5175	2M05313758+0226397
391	4611	2M05324119-0504245
392	4612	2M05324407-0529523
393	4612	2M05331152-0453276
394	4612	2M05331624-0613195
395	5169	2M05332758+1009137
396	4612	2M05333021-0604096
397	4559	2M05334627+3958411
398	4612	2M05335130-0451477
399	4611	2M05335326-0456050
400	4611	2M05335972-0506399
401	4612	2M05340313-0554548
402	4611	2M05341634-0449271
403	4611	2M05341743-0530352
404	4611	2M05342386-0515403
405	4613	2M05342626-0646093
406	4612	2M05342767-0537192
407	4611	2M05343087-0425070
408	4611	2M05343394-0528245
409	4612	2M05343487-0611259
410	5169	2M05343516+0927492
