LocationID	ApogeeID
122	4412	2M00451788+4034585
123	4476	2M00452143+1634446
124	5049	2M00453126+0217282
125	4217	2M00453251+8458164
126	5049	2M00461801+0314195
127	5067	2M00463801+8441448
128	5113	2M00464296+3931326
129	4476	2M00465720+1800069
130	5049	2M00465778+0235576
131	4476	2M00470197+1751448
132	5049	2M00475130+0213225
133	4217	2M00475315+8504023
134	5113	2M00475434+3924136
135	4413	2M00481734+4241343
136	5049	2M00484410+0241261
137	5113	2M00490257+3958086
138	5113	2M00493192+4026429
139	4217	2M00493548+8352375
140	5067	2M00493568+8544408
141	5049	2M00500064+0237292
142	5135	2M00511245-1324437
143	5113	2M00512463+4034022
144	5113	2M00525660+4042487
145	5113	2M00531758+3917111
146	5113	2M00535326+4023480
147	5113	2M00542052+4034354
148	4217	2M00542989+8450545
149	4217	2M00561095+8527325
150	5099	2M00572473+6258292
151	5067	2M00574795+8502290
152	5099	2M00581292+6332015
153	5113	2M00584312+4024232
154	5113	2M00590540+3912436
155	4217	2M00593409+8503084
156	5099	2M01010269+6357098
157	5099	2M01030042+6249274
158	5099	2M01030541+6244515
159	5099	2M01031300+6145544
160	5099	2M01033993+6418058
161	5048	2M01053790+5116300
162	5099	2M01053914+6251242
163	4217	2M01071003+8427224
164	4217	2M01073954+8504072
165	4414	2M01081115+6718065
166	5048	2M01082597+5016532
167	4414	2M01103850+6655525
168	5099	2M01122554+6220283
169	4217	2M01154526+8505404
170	4217	2M01173510+8617084
171	5058	2M01181073+7513504
172	4217	2M01193634+8435481
173	4477	2M01210468+1703135
174	4477	2M01210892+1725542
175	4477	2M01213129+1703294
176	4477	2M01222022+1714058
177	4477	2M01224310+1711493
178	4318	2M01232188+6220546
179	4477	2M01234718+1547209
180	4477	2M01240212+1712236
181	4477	2M01243365+1639063
182	4477	2M01252951+1737245
183	4477	2M01263693+1558112
184	4477	2M01271468+1544074
185	4477	2M01272947+1759561
186	4477	2M01273255+1554320
187	4477	2M01281616+1656509
188	4477	2M01281972+1731200
189	4477	2M01291705+1722515
190	4477	2M01304801+1645376
191	4477	2M01311367+1654026
192	4425	2M01321071+6634585
193	4318	2M01321516+6337140
194	4318	2M01325477+6205304
195	4217	2M01343480+8456365
196	4425	2M01345988+6651462
197	4217	2M01422966+8601414
198	5136	2M01424190-1939124
199	4425	2M01434427+6604240
200	5136	2M01434686-1718217
201	5136	2M01443396-1749560
202	5136	2M01444703-1858468
203	5136	2M01450899-1801153
204	5136	2M01455118-1842020
205	4217	2M01473870+8522443
206	5111	2M01502013+3852004
207	5111	2M01502985+3818110
208	4217	2M01503861+8503305
209	5111	2M01504269+3655040
210	5111	2M01504332+3757441
211	5111	2M01521669+3815063
212	5060	2M01525435+6152344
213	5111	2M01530085+3729427
214	4472	2M01531032-0131086
215	4472	2M01540092-0306019
216	5060	2M01540112+6211230
217	5060	2M01540426+6221236
218	5111	2M01541506+3614514
219	5060	2M01543697+6222109
220	4472	2M01550987-0302298
221	5111	2M01551917+3749154
222	5111	2M01554369+3844364
223	5111	2M01560793+3831493
224	4217	2M01561714+8458408
225	5111	2M01561746+3729086
226	4472	2M01562189-0223547
227	5111	2M01563118+3715099
228	4472	2M01570057-0216176
229	5060	2M01572504+6247156
230	5060	2M01572718+6300502
231	4472	2M01582883-0402056
232	4472	2M01583450-0349002
233	4416	2M01593686+6533283
234	4472	2M01593807-0213038
235	4416	2M02053182+6417133
236	4478	2M02060096+1342518
237	4478	2M02062460+1303219
238	4478	2M02062664+1438073
239	4309	2M02072992+5427212
240	4309	2M02082405+5454197
241	4478	2M02082894+1235031
242	4478	2M02101477+1256234
243	4478	2M02112068+1356170
244	4478	2M02112972+1313487
245	4478	2M02112973+1359128
246	4478	2M02121177+1334232
247	4478	2M02125621+1329146
248	5138	2M02132398-0519076
249	5138	2M02145818-0512455
250	5138	2M02154713-0452082
251	5138	2M02161345-0624484
252	5138	2M02163612-0544175
253	5138	2M02181589-0405513
254	5138	2M02191633-0630572
255	5138	2M02211174-0625243
256	5138	2M02213384-0501127
257	5138	2M02221362-0549194
258	5050	2M02263284-0914017
259	5050	2M02270400-0857321
260	5050	2M02281495-0801135
261	4271	2M02290160+6124289
262	5050	2M02291698-0754539
263	5050	2M02292468-1006549
264	5050	2M02293039-0818019
265	5078	2M02300670+1005116
266	5050	2M02301066-0847529
267	5056	2M02302239+4812053
268	5056	2M02310210+4617383
269	5050	2M02311339-0910485
270	5050	2M02312255-0748433
271	5078	2M02313445+1133334
272	5050	2M02313915-0724130
273	5050	2M02320101-0834599
274	5050	2M02321538-0731561
275	4271	2M02323994+6144028
276	5050	2M02324810-0902008
277	5050	2M02331719-0829127
278	5050	2M02332521-0816227
279	5056	2M02341898+4658542
280	5050	2M02342325-0828557
281	5078	2M02351198+0945376
282	5050	2M02352778-0744531
283	4271	2M02353225+6048063
284	5078	2M02353786+1118581
285	5050	2M02355251-0931362
286	5050	2M02360422-0902545
287	5050	2M02365696-0820361
288	5050	2M02374642-0831591
289	5056	2M02401782+4710051
290	2045	2M02402113+0020468
291	5112	2M02410821+3813590
292	5100	2M02410921+5223583
293	4479	2M02411197+0727401
294	5139	2M02413133-1358304
295	2045	2M02415477+0103383
296	5112	2M02415576+3750501
297	4479	2M02424580+0735211
298	5112	2M02431315+3844066
299	2045	2M02431582+0121345
300	2045	2M02432451-0038289
301	2045	2M02432640+0003163
302	5112	2M02440872+3711366
303	2045	2M02450567-0021040
304	4479	2M02451215+0730059
305	5112	2M02451228+3730573
306	2045	2M02452851+0119225
307	2045	2M02453568-0006180
308	5139	2M02454202-1244465
309	5139	2M02455385-1310597
310	2046	2M02460927+0017081
311	2045	2M02461453+0114414
312	5139	2M02461666-1250292
313	2045	2M02463589-0002271
314	5112	2M02464068+3745195
315	5112	2M02465650+3708372
316	2045	2M02472690-0012224
